Customer_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Monthly_Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
6567,M,Married,3+,High School Graduate,No,35000,283191,84,1,Rural,Y
19126,M,Married,0,College Graduate,Yes,60000,211881,24,0,Rural,Y
31193,M,Single,0,College Graduate,No,130000,295948,108,0,Rural,Y
18118,M,Married,3+,College Graduate,No,59506,107763,108,1,Urban,Y
857,M,Married,0,High School Graduate,No,18144,208777,48,1,Rural,Y
24659,F,Married,0,College Graduate,No,78000,144495,84,1,Rural,Y
18925,M,Single,0,College Graduate,Yes,60000,432330,60,1,Rural,N
20076,F,Single,0,College Graduate,Yes,63200,279103,84,1,Rural,Y
15394,M,Married,0,College Graduate,Yes,52600,427675,12,1,Urban,Y
7889,M,Married,0,High School Graduate,,37200,462488,48,1,Rural,N
28361,F,Married,0,College Graduate,No,98000,116760,12,1,Urban,Y
1474,F,Single,0,College Graduate,No,21600,250754,48,1,Urban,Y
15729,F,Single,0,College Graduate,Yes,53913,,108,1,Urban,Y
29192,F,Married,0,College Graduate,No,104000,334539,84,1,Urban,Y
8699,M,Married,0,College Graduate,No,39000,284403,48,0,Urban,Y
981,M,Married,0,College Graduate,No,19200,487981,72,1,Rural,Y
9816,M,Married,0,College Graduate,No,41000,357088,120,0,Rural,Y
2157,M,Single,3+,High School Graduate,No,24000,224931,60,1,Urban,N
18190,M,Married,0,College Graduate,,60000,431169,84,1,Urban,Y
19997,M,Single,0,College Graduate,No,63000,67736,24,0,Urban,Y
22492,F,Married,1,College Graduate,No,70000,93164,48,1,Urban,N
20007,M,Married,1,College Graduate,Yes,63000,439597,24,1,Rural,Y
6201,M,Single,1,College Graduate,No,34000,257028,72,1,Rural,Y
29132,M,Married,3+,College Graduate,Yes,103000,435061,84,1,Rural,Y
2676,F,Married,0,College Graduate,Yes,25770,293877,60,1,Urban,Y
17179,M,Single,1,College Graduate,Yes,56253,144793,24,1,Urban,Y
24568,M,Married,0,College Graduate,No,77500,280552,96,1,Rural,Y
30193,M,Single,1,College Graduate,Yes,115000,100172,24,1,Rural,Y
15060,F,Single,2,College Graduate,Yes,52000,399347,84,1,Rural,N
31549,M,Married,0,College Graduate,Yes,139992,135661,120,1,Urban,N
6123,M,Single,0,College Graduate,No,34000,297863,120,1,Urban,Y
22299,F,Single,1,College Graduate,No,70000,435257,108,1,Urban,Y
28005,M,Single,0,College Graduate,Yes,95000,183598,12,1,Rural,N
13346,M,Married,0,College Graduate,No,48500,453585,24,1,Urban,Y
28906,F,Married,1,College Graduate,No,100000,380918,48,1,Urban,Y
16066,M,Married,0,College Graduate,No,54000,192969,60,1,Rural,N
19396,F,Single,2,College Graduate,No,61200,268835,120,0,Urban,Y
22221,F,Single,0,College Graduate,Yes,70000,417563,84,1,Rural,Y
15266,M,Single,0,College Graduate,Yes,52000,481292,120,1,Urban,N
881,M,Married,3+,College Graduate,No,18530,258726,96,1,Rural,N
26843,F,Married,0,College Graduate,No,88000,223055,48,1,Rural,N
18657,F,Married,2,College Graduate,No,60000,417393,48,1,Rural,N
5393,F,Single,0,High School Graduate,No,32000,446116,120,1,Rural,N
24177,M,Single,0,College Graduate,No,75000,192980,120,1,Urban,Y
15897,M,Single,1,College Graduate,No,54000,370904,48,1,Urban,Y
29148,M,Single,3+,College Graduate,No,103000,387456,6,1,Urban,Y
3218,F,Single,0,College Graduate,No,27996,331461,12,1,Rural,Y
416,M,Single,2,College Graduate,No,14400,479830,84,1,Rural,N
19711,M,Single,1,College Graduate,No,62050,385616,120,0,Rural,N
29942,M,Married,0,College Graduate,No,112000,494740,12,0,Rural,Y
31496,M,Single,2,College Graduate,Yes,138000,259624,6,1,Urban,Y
3308,M,Married,0,High School Graduate,No,28000,385449,108,1,Rural,N
2187,M,Married,3+,High School Graduate,No,24000,303332,36,1,Rural,N
14301,M,Single,0,College Graduate,No,50000,87892,6,1,Urban,Y
8538,M,Married,1,College Graduate,No,39000,145666,12,1,Rural,Y
20587,F,Married,0,College Graduate,No,65000,284416,96,1,Urban,N
20862,F,Single,1,College Graduate,No,65000,394439,6,1,Urban,Y
10599,M,Single,0,College Graduate,No,42642,348653,36,0,Rural,Y
2789,M,Single,0,College Graduate,No,26000,492122,72,1,Rural,N
2231,F,Married,0,High School Graduate,No,24168,,6,1,Rural,N
9511,M,Single,0,College Graduate,No,40000,96392,36,0,Rural,N
25622,F,Married,1,College Graduate,Yes,81000,445592,48,1,Urban,Y
17209,F,Married,0,College Graduate,No,56400,56095,12,1,Rural,Y
7485,F,Single,1,College Graduate,No,36000,294978,60,0,Rural,N
10746,M,Married,0,College Graduate,No,43000,377296,96,1,Urban,N
12368,M,Single,3+,College Graduate,No,46300,433532,24,1,Urban,N
22226,M,Single,0,College Graduate,No,70000,112115,6,1,Rural,N
29371,F,Single,0,College Graduate,Yes,105500,285722,72,1,Urban,Y
8781,F,Single,2,College Graduate,No,39600,191443,48,1,Rural,Y
21388,F,Single,1,College Graduate,Yes,67000,387078,60,0,Urban,N
23827,M,Single,1,College Graduate,Yes,75000,493450,120,1,Rural,Y
28146,F,Single,2,College Graduate,No,96000,359662,120,1,Rural,Y
2128,M,Single,1,College Graduate,No,24000,109452,48,1,Urban,Y
4287,M,Married,2,High School Graduate,No,30000,217629,96,1,Urban,N
6513,F,Single,0,High School Graduate,No,35000,288843,6,1,Urban,Y
30260,M,Single,0,College Graduate,No,116664,150603,96,0,Urban,N
15061,M,Married,0,College Graduate,Yes,52000,68154,36,0,Urban,Y
16688,F,Single,0,College Graduate,Yes,55000,193206,48,0,Urban,N
22923,F,Single,0,College Graduate,Yes,72000,204625,108,1,Urban,Y
29115,M,Single,1,College Graduate,Yes,103000,320297,120,1,Urban,Y
25598,M,Married,0,College Graduate,Yes,81000,294451,24,1,Urban,Y
8463,F,Single,0,College Graduate,No,38500,201539,48,0,Urban,N
27659,F,Married,0,College Graduate,No,92500,163916,72,1,Urban,Y
17402,M,Married,0,College Graduate,Yes,57000,402193,24,1,Rural,Y
13880,M,Married,2,College Graduate,No,50000,455994,36,0,Urban,Y
5969,M,Single,2,High School Graduate,No,33600,353030,72,1,Rural,Y
28009,F,Married,2,College Graduate,Yes,95000,428080,108,1,Rural,Y
5661,F,Married,2,High School Graduate,No,33000,300691,48,1,Urban,Y
25577,F,Married,0,College Graduate,Yes,81000,284171,24,0,Rural,Y
27443,M,Single,0,College Graduate,No,91000,220387,120,1,Rural,Y
12944,M,Married,2,College Graduate,No,48000,266854,24,1,Urban,Y
31128,F,Single,2,College Graduate,Yes,129900,435744,48,0,Rural,N
11487,M,Married,0,College Graduate,No,45000,345209,60,1,Rural,Y
12193,F,Single,0,College Graduate,No,46000,469987,24,1,Rural,Y
3671,M,Single,0,High School Graduate,No,29000,158845,108,1,Urban,N
7417,M,Married,2,College Graduate,No,36000,416393,60,1,Urban,N
20237,F,Married,2,College Graduate,No,64000,186646,24,1,Urban,Y
16541,F,Married,2,College Graduate,No,55000,164887,108,1,Urban,Y
30438,M,Single,0,College Graduate,Yes,120000,311027,96,1,Rural,Y
17062,F,Married,0,College Graduate,No,56000,493900,6,1,Urban,Y
29761,F,Married,0,College Graduate,Yes,110000,169125,120,1,Rural,Y
21124,F,Single,2,College Graduate,No,66000,271060,72,1,Rural,Y
5786,M,Single,2,High School Graduate,No,33000,475459,48,0,Rural,Y
13329,M,Married,1,College Graduate,No,48450,383952,36,1,Rural,Y
17659,M,Single,2,College Graduate,No,58000,250993,96,1,Urban,N
17610,M,Married,0,College Graduate,No,57996,108116,6,1,Urban,Y
18810,F,Single,0,College Graduate,Yes,60000,66562,60,0,Urban,Y
19325,M,Married,2,College Graduate,Yes,61000,446578,84,1,Urban,Y
25903,F,Married,3+,College Graduate,Yes,83000,417218,24,1,Urban,Y
24212,M,Married,3+,College Graduate,Yes,75000,226178,84,0,Urban,N
14770,M,Married,0,College Graduate,Yes,51000,226207,120,1,Urban,Y
1458,M,Single,0,High School Graduate,No,21600,133408,24,1,Rural,N
18263,F,Married,1,College Graduate,Yes,60000,212472,72,1,Urban,N
29410,M,Married,1,College Graduate,Yes,106000,134681,60,1,Urban,Y
9144,F,Single,2,College Graduate,No,40000,259640,36,0,Urban,Y
1152,F,Married,3+,College Graduate,No,20000,235589,24,0,Urban,Y
14365,F,Married,2,College Graduate,No,50000,435935,108,1,Urban,Y
22094,M,Married,3+,College Graduate,No,70000,409398,48,1,Urban,N
13346,M,Married,0,College Graduate,No,48500,453585,24,1,Urban,Y
12762,M,Married,0,College Graduate,No,47900,,120,1,Rural,Y
17350,M,Married,0,College Graduate,Yes,57000,54733,96,1,Urban,Y
16199,F,Married,0,College Graduate,Yes,54170,456088,120,0,Urban,N
4511,M,Single,3+,High School Graduate,No,30000,193047,24,1,Urban,Y
17648,M,Married,0,College Graduate,No,58000,155195,12,1,Rural,N
30225,M,Married,0,College Graduate,No,116000,204907,84,0,Rural,Y
